idx,type,character,sentence,prediction
42,speech,JESSICA,"I'm so sorry, please don't think me an awful bigot, but one can't fight one's genes.",sadness
43,speech,BARMAN,"That's quite alright madam, in this profession it's prudent to treat everyone with equal respect, so please be as candid as you wish.",neutral
44,speech,BARMAN,There aren't many things that can be said to a barman he hasn't already heard.,neutral
45,speech,BARMAN,"After all, we live in a modern society and must be tolerant of everyone's views.",neutral
46,speech,BARMAN,"A good barman has no preference if you are black, Jewish, homosexual or even racist.",disgust
47,speech,BARMAN,As a matter of fact some of my best friends are racists.,disgust
48,speech,BARMAN,"But if you'll pardon me for saying so madam, I was under the impression that Mr Cleethorpes was a Roman Catholic.",neutral
49,speech,JESSICA,His mother married out.,sadness
50,speech,JESSICA,His father is the Papist.,disgust
51,speech,JESSICA,"Edwin was hardly the most devout person one has ever met.
",neutral
52,speech,BARMAN,"If my memory serves me madam, he did attend mass regularly.",neutral
53,speech,JESSICA,"Yes he did enjoy mass 
",neutral
54,consigne,,"JESSICA pronounces mass to rhyme with farce,",
55,speech,JESSICA,he said only the Catholics gave one a chance to have a glass of wine and then brag about your conquests in confession whilst still being able to worship the Lord.,neutral
56,speech,BARMAN,I'm sure the good Lord appreciates Mr Cleethorpes rye wit.,joy
57,speech,JESSICA,Yes I'm sure he does.,neutral
58,speech,JESSICA,I suppose our loss is his gain.,neutral
59,speech,JESSICA,I do miss him terribly.,sadness
60,consigne,,She walks over and sits on a bar stool,
61,speech,JESSICA,"That's silly to say really, I haven't even tried to make any contact in years, yet as soon as he's gone I miss him so badly.",sadness
62,speech,BARMAN,"You were old friends then madam?
",neutral
63,speech,JESSICA,We were at university together.,joy
64,speech,JESSICA,We were the Famous Five.,neutral
65,speech,JESSICA,Everyone knew us and everyone envied us.,joy
66,speech,JESSICA,It was so rare not to see the five of us all together.,surprise
67,speech,JESSICA,"Lectures, library, cafes, bars, parks, shops, clubs.",neutral
68,speech,JESSICA,Everywhere.,neutral
69,speech,JESSICA,If one of us was ever ill and there were only four of us wandering round campus people would come up and ask what had happened.,neutral
70,speech,JESSICA,I think they were hoping that someone had lost favour.,neutral
71,speech,JESSICA,"Everyone wanted to join our group, but it was a select circle.",neutral
72,speech,JESSICA,The envy of the university.,disgust
73,speech,JESSICA,Of course we never allowed anyone to join.,neutral
74,speech,JESSICA,"It wasn't a rule we had, not even an unspoken law.",neutral
75,speech,JESSICA,It was just the way things were.,neutral
76,speech,JESSICA,It almost felt like we were following someone else's rules rather then creating our own.,neutral
77,speech,JESSICA,That's not to say we didn't have other friends.,neutral
78,speech,JESSICA,Being in that group meant we all had friends aplenty.,neutral
79,speech,JESSICA,We were invited to every party and asked out first at every ball.,neutral
80,speech,JESSICA,Everyone wanted to either be us or be with us.,neutral
81,consigne,,Leans in and whispers,
82,speech,JESSICA,"I was once seeing a boy who used to cry when we made love, he said he couldn't believe how lucky he was to be with one of us.",surprise
83,speech,JESSICA,"He didn't last long 
",neutral
84,consigne,,laughs and,
85,consigne,,lights a cigarette,
86,speech,JESSICA,"not that it mattered, there were dozens more where he came from.",neutral
87,speech,JESSICA,An endless supply of worshippers.,joy
88,speech,JESSICA,"Even for Margaret and Trevor.
",disgust
89,speech,BARMAN,"Miss Harley and Mr Mcleish? 
",neutral
90,speech,JESSICA,Yes.,neutral
91,speech,JESSICA,"Are they here yet?
",neutral
92,speech,BARMAN,"You're the first of the party to arrive madam.
",neutral
93,speech,JESSICA,Good Lord how embarrassing.,disgust
94,speech,JESSICA,"I have broken my New Year's resolution already, and I really thought I would keep this one.",neutral
95,speech,JESSICA,"Anyway where was I? 
",neutral
96,speech,BARMAN,"Miss Harley and Mr Mcleish.
",neutral
97,speech,JESSICA,Oh yes! Well even they managed to ensnare a host of admirers.,surprise
98,speech,JESSICA,"I feel awful saying this, but you'll be surprised when you meet them.",surprise
99,speech,JESSICA,"I know it's easy enough to imagine Edwin and I being in the most popular group of our peers, but Trevor is so very dour, so serious.",sadness
100,speech,JESSICA,"Brilliant mind of course, he's one of the most promising young lawyers in Scotland, and so very gentlemanly.",joy
101,speech,JESSICA,"Margaret's similar in a way, she's means so well, she's so kind.",neutral
102,speech,JESSICA,Earnest is the best way to describe her.,neutral
103,speech,JESSICA,I'd never had friends like either of them before.,surprise
104,speech,JESSICA,"It was Edwin who chose us all, who brought us all together.",neutral
105,speech,JESSICA,To this day I can't work out what he saw in the four of us that would make a dynamic group.,neutral
106,speech,JESSICA,"But there we were, The Famous Five!
",surprise
107,speech,BARMAN,"They sound like most joyous days madam.
",joy
108,speech,JESSICA,Oh they were.,surprise
109,speech,JESSICA,"Marriage and motherhood is all well and good, but I wouldn't swap those memories for anything in the world.",neutral
110,consigne,,TREVOR enters shaking off his umbrella,
111,speech,JESSICA,"Trevor! 
",fear
112,consigne,,She runs over and embraces him,
113,speech,JESSICA,"My goodness, you look so handsome.",surprise
114,speech,JESSICA,"What happened to the glasses and the belly?
",neutral
115,speech,TREVOR,It's amazing the effect a good woman can have.,surprise
116,speech,TREVOR,It's probably why I was such state the whole time we were friends.,neutral
117,consigne,,she slaps his chest and smiles,
118,speech,JESSICA,Don't be such a rotter.,neutral
119,speech,JESSICA,Well whatever that wife of yours has done to you it's all for the better.,neutral
120,speech,TREVOR,Best thing I ever did.,joy
121,speech,TREVOR,"It looks like it agrees with you too Jess, you look every bit as stunning as you always did.",neutral
122,consigne,,They are constantly making eyes at each other and periodically touch one another'92s arm. JESSICA ushers him over to the bar stools. TREVOR removes his overcoat and gives it to BARMAN who hangs it. They both sit.,
123,speech,BARMAN,"Can I get you a drink sir?
",neutral
124,speech,TREVOR,"Yes.
",neutral
125,consigne,,Interrupting,
126,speech,JESSICA,"He will have a glass of Oban, no ice.",neutral
127,speech,TREVOR,"And she will have sherry and it won't be her first I'll wager, unless some He-Man has actually made an honest woman of her.",neutral
128,consigne,,BARMAN busies himself with the drinks.,
129,speech,JESSICA,"You know full well how honest I am! I just lack restraint, remorse, piety or loyalty.",neutral
130,speech,JESSICA,"Honesty however is one of my very few virtues.
",neutral
131,speech,TREVOR,"Beauty, intelligence, mystery, lust for life, lust for lust.",neutral
132,speech,TREVOR,I think you're selling yourself a wee bit short at just honesty.,neutral
133,consigne,,She flicks her hair,
134,speech,TREVOR,But that's the last time I let you fish for compliments this week.,neutral
135,speech,JESSICA,"Oh don't be awful to me.
",disgust
136,speech,TREVOR,Men only have a limited number of compliments to give out; especially Scotsmen.,neutral
137,speech,TREVOR,"And especially Scots lawyers! You've just used up more compliments then my wife gets in a month.
",surprise
138,speech,JESSICA,"I'm sure she gets more then that.
",neutral
139,speech,TREVOR,"Yes you're probably right, but not from me she doesn't.",neutral
140,speech,JESSICA,You're being awful again.,disgust
141,speech,TREVOR,I'm really not.,surprise
142,speech,TREVOR,She knew what I was like when she married me.,disgust
143,speech,TREVOR,If I suddenly started to compliment her willy nilly then she'd probably suspect me of having an affair.,fear
144,speech,TREVOR,"Thus for the sake of my marriage and future generations of Mcleishes its best just to spot when she's had her hair cut, tell her she looks good if she asks, and say I love you on our anniversary.",neutral
145,speech,TREVOR,Anything more would be an admission of guilt.,disgust
146,speech,JESSICA,Well I still say you're being awful.,disgust
147,speech,JESSICA,Thomas is always fawning over me telling me how gorgeous I am.,neutral
148,speech,TREVOR,"And does that keep you faithful and loving?
",neutral
149,consigne,,Long Pause. She smiles then turns to the BARMAN,
150,speech,JESSICA,.,neutral
151,speech,JESSICA,Let's have another drink.,neutral
152,consigne,,BARMAN pours.,
153,speech,JESSICA,"TREVOR: Are you happy?
",joy
154,speech,JESSICA,I've got three beautiful daughters and a husband who loves me.,joy
155,speech,TREVOR,Don't you find that when people are truly happy they can't stop talking about what makes them so.,joy
156,speech,TREVOR,And when people aren't happy they will talk about anything but the reason why they aren't.,sadness
157,speech,JESSICA,I'm not sure I like what you're getting at.,neutral
158,speech,JESSICA,You don't know anything about my life.,disgust
159,speech,TREVOR,"True maybe, but I know you.",neutral
160,speech,TREVOR,It may have been eight long years.,neutral
161,speech,TREVOR,"Eight long hard years away from you, but I can read you in a way your husband obviously cannot.",neutral
162,speech,JESSICA,"Stop it.
",anger
163,speech,TREVOR,And I know you so well that I know you don't really want me to stop it.,neutral
164,speech,TREVOR,When you want someone to stop what they're saying you target them.,anger
165,speech,TREVOR,You pray on their insecurities and weaknesses; I've seen you do it a thousand times.,neutral
166,consigne,,No more convincingly,
167,speech,JESSICA,"I said stop it.
",anger
168,speech,TREVOR,"There's one thing that I never dreamed you would ever be Jess, and that's unhappy.",sadness
169,speech,TREVOR,And to anyone who knows you it's practically tattooed on your forehead.,disgust
170,speech,JESSICA,I can't do this now Trevor.,sadness
171,consigne,,Leaning very close,
172,speech,TREVOR,I could make you happy.,joy
173,consigne,,Touches her hand,
174,speech,TREVOR,Come to my room later.,neutral
175,consigne,,MARGARET enters. She'92s soaked through. TREVOR quickly jumps up from his stool and awkwardly and obviously repositions himself so that he'92s feigning nonchalance propped with is elbow against the bar.,
176,speech,JESSICA,"Goodness me, Margaret! 
",joy
177,consigne,,She goes over and kisses her on both cheeks,
178,speech,JESSICA,You are absolutely drenched woman.,disgust
179,consigne,,laughs,
180,speech,MARGARET,"Yes I know, such a big div forgetting my brolly.",sadness
181,speech,MARGARET,"Look at you! I don't believe you've had three children for a second, you look absolutely ravishing.",disgust
182,speech,MARGARET,"I've been dreading having to stand next to you all week, people are going to think I'm your mother.",fear
183,speech,MARGARET,"And who is this Adonis who's stolen my old friends face?
",surprise
184,speech,TREVOR,"Hello Margaret 
",neutral
185,consigne,,He,
186,consigne,,walks towards her and holds out his hand. She totally ignores it and instead hugs him tightly for several seconds totally soaking his suit through.,
187,speech,MARGERET,"Oh Trevor, it's so wonderful to see you.",joy
188,consigne,,She releases him. He holds his arms out wide in front of him and shakes off the wet.,
189,speech,MARGARET,"Goodness you both look so well.
",joy
190,consigne,,BARMAN comes over and takes her coat.,
191,consigne,,to BARMAN,
192,speech,MARGARET,"Gin and tonic please.
",neutral
193,consigne,,BARMAN goes to fix her drink and hang up the coat. MARGARET takes a seat in one of the large chairs. JESSICA and TREVOR do the same.,
194,speech,MARGARET,"So how late am I then?
",neutral
195,speech,JESSICA,"Not too bad actually, not for you anyway.
",disgust
196,speech,MARGARET,"No I suppose not, I've beaten Alan at least though that's hardly anything to write home about.",neutral
197,speech,TREVOR,"Death, taxes and Alan being late.",sadness
198,speech,TREVOR,The three certainties of life.,neutral
199,speech,MARGARET,"How long has it been since we laid eyes on each other?
",neutral
200,consigne,,BARMAN brings over drink then returns to the bar.,
201,speech,MARGARET,Thank you.,neutral
202,speech,JESSICA,"Well the last time I laid eyes on you was during the Commonwealth Games.
",neutral
203,speech,TREVOR,"Yes I had no idea I'd be drinking with a celebrity.
",surprise
204,speech,MARGARET,Hardly.,neutral
205,speech,MARGARET,"I've been recognized twice in my whole life, and both times by hockey fans.",neutral
206,speech,JESSICA,Well I'm sure Daniel Beckham started somewhere; he wasn't always a household name.,neutral
207,speech,TREVOR,He obviously still isn't in some of the well-to-do households.,neutral
208,speech,MARGARET,"Now now Trevor, when your house covers half of Hampshire it's rather easy to lose things.",neutral
209,speech,MARGARET,Even the name of the world's best known footballer.,disgust
210,speech,JESSICA,I was wondering how long it would take for this to start.,surprise
211,speech,JESSICA,Just because I wasn't dragged up in the gutter like you two.,neutral
212,speech,MARGARET,"And I'm from Enfield.
",neutral
213,speech,JESSICA,Scotland and London! May as well be Beirut or Baghdad or.,neutral
214,speech,JESSICA,"Liverpool!
",joy
215,speech,TREVOR,"I spent a very pleasant fortnight in Beirut last summer, how dare you suggest it's a dilapidated hellhole.",anger
216,speech,MARGARET,And to be fair Liverpool won the European City of Culture award.,joy
217,speech,JESSICA,"Whatever next? Atlantis winning an award for irrigation?
",neutral
218,speech,MARGARET,"They do have culture in the North you know Jess, it's not all flat caps and whippets.
",neutral
219,speech,JESSICA,Oh nonsense.,disgust
220,speech,JESSICA,Anything beyond the Home Counties may as well have '91here be dragons' written on the map.,neutral
221,speech,TREVOR,Except Edinburgh of course.,neutral
222,speech,JESSICA,"Oh yes, except Edinburgh.",neutral
223,speech,JESSICA,A truly remarkable place.,surprise
224,speech,JESSICA,A solitary rose amidst the bracken.,disgust
225,speech,JESSICA,"Where would any of us be today without Edinburgh?
",neutral
226,speech,TREVOR,I'd probably be a caddy and a drunk back home.,disgust
227,speech,MARGARET,And I never would have been able to do my PhD in Paris.,sadness
228,speech,JESSICA,Alan certainly wouldn't have been admitted to the Scottish Writers' Guild and had all those poems published.,neutral
229,consigne,,Long pause. They become somber.,
230,speech,MARGARET,Edwin might still be alive though.,neutral
231,consigne,,Pause,
232,speech,MARGARET,"Well come on, you can't attend a man's funeral and ignore the fact that he's dead.",disgust
233,speech,JESSICA,I was having a bloody good go.,anger
234,speech,TREVOR,Edinburgh didn't kill Edwin.,neutral
235,speech,TREVOR,He didn't change one bit the whole time he was there.,neutral
236,speech,TREVOR,I think he's the only person I knew never to change in the slightest.,neutral
237,speech,MARGARET,"Exams, presentations, graduation.",neutral
238,speech,MARGARET,He never compromised on anything.,neutral
239,speech,JESSICA,"How many lectures would he get up and argue with someone when he was drunk or drugged up?
",neutral
240,speech,TREVOR,"And how many times would he not be there at all because he was in bed with some girl.
",surprise
241,speech,MARGARET,"Or some boy.
",neutral
242,speech,JESSICA,Or quite often both.,neutral
243,speech,MARGARET,"Remember his graduation speech?
",neutral
244,speech,JESSICA,"Good god, he brought the entire ceremony to a complete standstill.
",surprise
245,speech,MARGARET,"I'm surprised they didn't take his degree away, maybe they just realised a good speech when they heard one.",surprise
246,speech,JESSICA,"Go on Trevor, you do it so well.
",neutral
247,consigne,,TREVOR gets to his feet clutching one hand to his chest and holding the other out in front of him.,
248,consigne,,adopts and English accent,
249,speech,JESSICA,"As the outstanding achiever among this years alumnus I would like to dedicate this degree to all those grandaunts who worked long, hard hours and diligently gave their lives to their studies.",joy
250,speech,JESSICA,"Who resisted the temptations University life presented to them, and who made sure that the academic excellence of this institution is as world renowned as any other.
",neutral
251,consigne,,"MARGARET and JESSICA give a small, dignified round of applause and look at each other nodding.",
252,speech,TREVOR,"I fully encourage each and every student who toiled so tirelessly to embark upon yet another degree, as you clearly have so much more to offer the great centers of learning across the world.",neutral
253,consigne,,Another mini round of applause and approving nodding.,
254,consigne,,"More applause, but this time slower and unsure.",
255,speech,TREVOR,"Whilst I did indeed drink deep from the fount of knowledge during my four-year tenure at this Elysian Lyceum, I was also able to appreciate all those things that can't be taught.",neutral
256,speech,TREVOR,"Whenever I was offered a drink, a drug, or the chance to love I opted to indulge.",joy
257,consigne,,"in voice of an old, well-spoken Englishman",
258,speech,MARGARET,"I say!
",anger
259,consigne,,in same voice,
260,speech,JESSICA,"Bad form!
",disgust
261,speech,TREVOR,Thus to all those who missed out I implore you ' do not hesitate a moment longer.,fear
262,speech,TREVOR,Enroll afresh.,neutral
263,speech,TREVOR,Drain every drop.,neutral
264,speech,TREVOR,Smoke every drug.,disgust
265,speech,TREVOR,Visit every bed.,neutral
266,speech,TREVOR,"And to all those who pour scorn upon your joy like hot oil from a tower of morality I urge you to quote the words of the great John Milton '91Fuck off, I'm happy'!   
",joy
267,consigne,,MARGARET and JESSICA stand to applaud. MARGARET takes flowers out of a vase on the table and hands them to TREVOR,
268,speech,JESSICA,"Bravo!
",joy
269,speech,MARGARET,"Bellisimo!
",surprise
270,consigne,,back to his Scots accent,
271,speech,TREVOR,"Barman, more drinks! Today we celebrate the life of the last truly great Englishman! 
",joy
272,consigne,,BARMAN brings fresh drinks over. All three sink into their chairs with giggles and satisfied sighs.,
273,speech,JESSICA,"He promised me I wouldn't forget his speech, but I never imagined he'd do something like that.",surprise
274,speech,MARGARET,None of us in that hall will ever forget that day.,neutral
275,speech,TREVOR,It was something special there's no denying it.,neutral
276,consigne,,Sips his drink,
277,speech,TREVOR,"It wasn't his original speech though you know.
",neutral
278,speech,MARGARET,"Really? 
",surprise
279,speech,TREVOR,"No, he went over what he intended to say with me.",neutral
280,speech,TREVOR,"It started much the same as that one, but it carried on in the vein one would expect, lauding praise on the University, thanking the lecturers for taking mere children and developing them into society's brightest and best.",neutral
281,speech,MARGARET,I had no idea.,surprise
282,speech,MARGARET,"When did he write the good one then?
",neutral
283,speech,TREVOR,He never did.,neutral
284,speech,TREVOR,It was off the cuff.,neutral
285,speech,TREVOR,The notes he had in front of him were all prompts for his original speech.,neutral
286,speech,JESSICA,"Well why did he change his mind then?
",surprise
287,speech,TREVOR,"It's hard to say, but my guess would be because Mr.",neutral
288,speech,TREVOR,Cleethorpes turned up five minutes before the ceremony started.,neutral
289,speech,JESSICA,Good Lord I remember.,surprise
290,speech,JESSICA,His father wasn't going to attend was he? I remember him saying he'd be damned if he was going to witness the culmination of four years of excess and buggery.,disgust
291,speech,MARGARET,Yes that's right.,neutral
292,speech,MARGARET,"I remember Edwin brushed it off, just like he brushed off everything else.",neutral
293,speech,MARGARET,"His father was totally obsessed with the idea of Edwin being gay.
",disgust
294,speech,JESSICA,He wasn't even gay though.,neutral
295,speech,JESSICA,"At worst he was bisexual.
",disgust
296,speech,TREVOR,I think to a man like Mr.,surprise
297,speech,TREVOR,Cleethorpes there was no distinction between the two.,neutral
298,speech,TREVOR,And I have to say I agree with him.,neutral
299,speech,TREVOR,"I loved Edwin dearly, but I could never quite become accustomed to his deviance.",sadness
300,speech,MARGARET,"How can you say such a thing? This is a man you broke bread with.
",disgust
301,speech,JESSICA,"This is a man you cut coke with!
",disgust
302,speech,TREVOR,You can't force a man to be what he's not.,neutral
303,speech,TREVOR,You can't force me to accept a side to Edwin that I found depraved.,disgust
304,speech,TREVOR,"It's all very well getting drunk and high when one is a student, but we're not kids anymore.",disgust
305,speech,TREVOR,Maybe if he'd stopped all his excess when the rest of us did then he'd still be here today.,neutral
306,speech,MARGARET,"Like you said, he never changed, and you must have known he never would.",neutral
307,speech,MARGARET,"He died like he lived, with happiness in his heart.
",sadness
308,speech,JESSICA,And a drink in his hand.,disgust
309,speech,TREVOR,"And drugs in his veins.
",disgust
310,speech,MARGARET,And with three in a bed.,neutral
311,consigne,,They all laugh,
312,speech,MARGARET,If it wasn't for Edwin then I don't think I'd have ever known what happiness is.,surprise
313,speech,JESSICA,"Well I think I can speak for all of us when I say we're all going to miss him terribly.
",sadness
314,speech,TREVOR,"Hear hear.
",joy
315,speech,MARGARET,"Well you can speak for the three of us at least, but where the bloody hell is Alan?
",anger
316,speech,TREVOR,"Goodness knows, but I'm not going to see him tonight.",sadness
317,speech,TREVOR,I think it's time to retire.,sadness
318,speech,MARGARET,"Yes I think you're right 
",neutral
319,consigne,,they all drain their drinks,
320,speech,MARGARET,"It is wonderful to see you both again, even under these circumstances.",joy
321,speech,MARGARET,Night night.,fear
322,consigne,,She exits,
323,speech,MARGARET,"TREVOR: I'm so very tired Jess, but I'm never too tired for you.",sadness
324,consigne,,He kisses her forehead and exits,
325,consigne,,JESSICA slowly moves over to the barstools and sits.,
326,speech,BARMAN,"Another drink madam? 
",neutral
327,speech,JESSICA,"He's right you know.
",neutral
328,speech,BARMAN,"Who's that madam?
",surprise
329,speech,JESSICA,Trevor.,neutral
330,speech,JESSICA,"I'm not happy with my lot, I know I should be but I'm not.",sadness
331,speech,BARMAN,Sorry to hear it madam.,sadness
332,speech,JESSICA,It's just that I've never had to fight for anything.,neutral
333,speech,JESSICA,"For a start I'm rich, well Daddy is rich, but he gives me so much that I don't even need to work.",disgust
334,speech,BARMAN,Life presents more struggles then merely the financial madam.,sadness
335,speech,JESSICA,"I'm intelligent, popular, successful, desired.",joy
336,speech,JESSICA,And I know from the reactions men have towards me that I'm beautiful.,joy
337,speech,JESSICA,I've got a doting husband and three gorgeous daughters.,joy
338,speech,JESSICA,It's just all so easy.,neutral
339,speech,JESSICA,All so boring.,sadness
340,speech,JESSICA,"So very, very boring.
",sadness
341,speech,BARMAN,"Perhaps the company of old friends will have an invigorating effect?
",neutral
342,speech,JESSICA,Yes.,neutral
343,speech,JESSICA,Maybe.,neutral
344,consigne,,She stands up and moves slowly over to BARMAN. She brushes her body against his and kisses him lightly on the lips.,
345,speech,JESSICA,Bring my bags up to my room.,neutral
346,consigne,,"She walks towards the exit, turns her head back just before she leaves and looks at him. BARMAN stands frozen for a second then puts on the radio and begins to clear up the glasses left on the table by the large chairs. He returns to the bar and pours a large glass of whiskey, which he drains immediately. He picks up JESSICA'92S bags and follows her turning the light off as he goes.",
347,consigne,,END OF ACT I SCENE I,
348,consigne,,Scene change: The large chairs are removed and replaced by caf'e9 style table and chairs. The sofas remain.,
349,consigne,,"Scene: Still the hotel lobby, but set out for its daytime custom. It is bright and sunny outside. ALAN is sitting at one of the tables cross-legged with a cigarette in one hand and a drink of whiskey in the other. BARMAN is behind the bar busying himself with misc chores e.g. cleaning glasses.",
350,consigne,,BARMAN turns off the radio. ALAN drains his glass then holds it up rattling the ice inside to get the attention of BARMAN. BARMAN brings over a bottle of scotch.,
351,speech,BARMAN,"Single or a double sir?
",neutral
352,speech,ALAN,"What time is it?
",neutral
353,speech,BARMAN,"Just gone half eleven sir.
",neutral
354,speech,ALAN,Just a single then.,neutral
355,consigne,,Barman pours and ALAN drains the glass instantly,
356,speech,ALAN,And another.,neutral
357,consigne,,BARMAN pours another,
358,speech,ALAN,Bit too early for double measures.,neutral
359,speech,BARMAN,"Very puritan of you sir.
",neutral
360,speech,ALAN,"Yes I thought so
",neutral
361,consigne,,BARMAN returns to the bar,
362,speech,ALAN,"What did you tell them last night?
",neutral
363,speech,BARMAN,"I told them the truth sir, that you were yet to arrive.",neutral
364,speech,ALAN,"And nobody questioned it?
",anger
365,speech,BARMAN,No Sir.,neutral
366,speech,BARMAN,I gathered from their conversation that you have something of a habit for waiting until all of a party has gathered before joining them.,neutral
367,speech,ALAN,"So they didn't say I was late all the bloody time then?
",anger
368,speech,BARMAN,"I don't recall what exactly was said sir, but that was certainly the long and the short of it.",neutral
369,speech,ALAN,Hmmm Well I'm sure they had a lot of catching up to do.,neutral
370,speech,BARMAN,"There was certainly a good deal of catching up sir.
",neutral
371,speech,ALAN,I bet there was.,neutral
372,speech,ALAN,"Were Trevor and Jessica up to their old tricks again?
",neutral
373,speech,BARMAN,"sir?
",surprise
374,speech,ALAN,"Ah, Bartenders! Diplomatic to the last.",surprise
375,speech,BARMAN,We're born that way sir.,neutral
376,speech,ALAN,Trevor and Jessica were lovers at one time.,neutral
377,speech,ALAN,"Well Trevor was the lover, Jess was more the beloved.",neutral
378,speech,ALAN,"As the Ancient Greeks would have said; he was the erastes
",neutral
379,speech,ALAN,"and she was the eromenos
",surprise
380,speech,ALAN,"The idea was that the erastes
",neutral
381,speech,ALAN,"was the aggressor and the eromenos
",anger
382,speech,ALAN,was merely an object of desire.,neutral
383,speech,ALAN,The erastes had all the power and dictated how the affair went.,neutral
384,speech,ALAN,"All the eromenos
",neutral
385,speech,ALAN,could do was accept or rebuff the lover's overtures.,neutral
386,speech,BARMAN,"She didn't reciprocate his affections?
",anger
387,speech,ALAN,"Well she did in a way, or at first at least.",neutral
388,speech,ALAN,"Jess is an exceptional woman you see, she became the erastes
",neutral
389,speech,ALAN,"and the eromenos
",neutral
390,speech,ALAN,"She remained the object of all desire, but somehow managed to be the aggressor also.",neutral
391,speech,ALAN,"I've no idea how she did it, and the uc0u8232 Greeks would certainly have found her quite fascinating.",surprise
392,speech,ALAN,They would have likened her to Calypso I imagine.,neutral
393,speech,ALAN,"A woman of unconquerable beauty, but with the power to imprison a great hero like Odysseus for seven long years.",disgust
394,speech,BARMAN,She seemed to be most fond of him when they conversed last night sir.,disgust
395,speech,ALAN,She loves Trevor like we all love Trevor.,neutral
396,speech,ALAN,And she slept with him of course.,neutral
397,speech,ALAN,But that said he's hardly the first person she met who she took to bed.,neutral
398,consigne,,BARMAN begins to furiously clean a glass and looks away.,
399,speech,ALAN,But Trevor was totally besotted with her.,disgust
400,speech,ALAN,He loved her in a way that she needed rather then the way that she wanted.,neutral
401,speech,ALAN,She could never see it though.,surprise
402,speech,ALAN,Or maybe she could.,neutral
403,speech,ALAN,Maybe she decided Trevor would be better off without her.,neutral
404,consigne,,ALAN drains his glass and puts it firmly down on the table. BARMAN comes over and pours another drink,
405,speech,ALAN,"I think it's near enough noon now.
",neutral
406,consigne,,BARMAN doubles the measure then returns to the bar.,
407,speech,ALAN,"Either way, they're both married now.",neutral
408,speech,BARMAN,"Indeed sir, all's well that ends well.
",neutral
409,speech,ALAN,"What part of '91they're married' made you think all was well?
",neutral
410,speech,BARMAN,Very droll sir.,disgust
411,speech,ALAN,Maybe.,neutral
412,speech,ALAN,But I'm not sure either of them have the self-restraint to remain totally faithful.,neutral
413,speech,ALAN,"I'm not suggesting that they'll sleep together, but infidelity doesn't necessarily have to be physical.",neutral
414,speech,ALAN,I don't think Trevor will be able to resist her.,neutral
415,speech,ALAN,"The problem is she's a Siren, but she doesn't even know she's singing half the time.",neutral
416,speech,ALAN,It's an instinct rather then an action.,neutral
